,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
584,치즈인더트랩,tvN,16,3C,12.6,5.6,9.0,0.0,5.0,0.0,1.186206896551724,0.15517241379310354,0,"로맨스,드라마",5.9625,2016-01-04
585,전생에 웬수들,MBC,123,22B,31.0,8.8,11.0,0.0,6.0,0.0,2.3684491978609623,6.273796791443851,0,드라마,10.456666666666669,2017-11-27
586,해피시스터즈,SBS,120,22B,21.2,4.2,24.0,0.0,0.0,0.0,2.5323699421965316,5.800578034682081,0,드라마,11.356666666666666,2017-12-04
587,미워도 사랑해,KBS1,120,22B,19.8,7.2,11.0,0.0,6.0,0.0,1.9728323699421964,4.148554913294798,0,드라마,19.38,2017-11-13
588,역류,MBC,119,22B,19.4,4.0,5.0,3.0,0.0,0.0,1.981818181818182,3.5854545454545463,0,드라마,8.383333333333335,2017-11-13
589,밥상 차리는 남자,MBC,50,13C,43.4,20.2,8.0,0.0,17.0,0.0,1.6580808080808078,6.686363636363636,0,드라마,14.23333333333333,2017-09-02
590,황금빛 내 인생,KBS2,52,24B,21.2,11.8,13.0,0.0,13.0,0.0,1.5586387434554974,6.581675392670156,0,"가족,로맨스",38.813333333333325,2017-09-02
591,아버지가 이상해,KBS2,52,24B,47.0,15.2,17.0,0.0,11.0,2.0,4.037853107344632,18.920903954802263,0,"가족,코메디",27.3,2017-03-04
592,너의 등짝에 스매싱,TV조선,50,12B,26.2,8.4,0.0,0.0,12.0,0.0,0.8579545454545456,-0.875,0,시트콤,0.6,2017-12-04
593,TV소설 꽃피어라 달순아,KBS2,129,22A,15.6,3.6,12.0,0.0,2.0,0.0,2.27388888888889,9.01611111111111,0,드라마,10.453333333333335,2017-08-14
594,내 남자의 비밀,KBS2,100,22B,17.6,4.8,11.0,0.0,5.0,0.0,1.0227586206896546,5.701379310344828,0,드라마,19.323333333333338,2017-09-18
595,흑기사,KBS2,20,9C,17.6,15.2,10.0,0.0,16.0,0.0,0.6553846153846156,-1.7784615384615383,0,"판타지,로맨스",9.684999999999999,2017-12-06
596,당신은 너무합니다,MBC,50,24C,27.0,10.6,14.0,0.0,8.0,0.0,4.037853107344632,18.920903954802263,0,"드라마,음악",12.7,2017-03-04
597,돈꽃,MBC,24,11C,42.2,37.4,10.0,0.0,3.0,0.0,0.5964705882352942,0.17647058823529413,0,"서스펜스,액션,수사물",15.541666666666666,2017-11-11
598,브라보 마이 라이프,SBS,56,11C,26.6,8.6,11.0,0.0,18.0,0.0,0.5433962264150943,2.5009433962264147,0,"드라마,로맨스,가족",6.6000000000000005,2017-10-21
599,그냥 사랑하는 사이,JTBC,16,3C,25.2,14.2,18.0,0.0,9.0,3.0,0.7392156862745098,-1.5470588235294123,0,드라마,1.74375,2017-12-11
600,의문의 일승,SBS,40,3C,15.6,11.0,12.0,0.0,8.0,1.0,0.6584615384615385,-0.7230769230769232,0,"서스펜스,액션,수사물",6.739999999999999,2017-11-27
601,모두의 연애,tvN,8,10C,34.2,3.0,0.0,0.0,0.0,0.0,0.7980000000000002,-1.1160000000000003,0,드라마,0.8625,2017-12-08
602,로봇이 아니야,MBC,32,9C,15.6,7.6,5.0,0.0,0.0,0.0,0.8176470588235295,-0.8274509803921569,0,드라마,3.1566666666666667,2017-12-06
603,막돼먹은 영애씨 시즌16,tvN,16,3C,27.4,11.2,0.0,0.0,22.0,0.0,0.8254901960784314,-0.43137254901960786,0,드라마,2.9437499999999996,2017-12-04
604,저글러스,KBS2,16,3C,12.2,9.6,9.0,0.0,2.0,0.0,0.8254901960784314,-0.43137254901960786,0,로맨스,7.90625,2017-12-04
605,언터처블,JTBC,16,21C,35.2,30.0,18.0,0.0,8.0,7.0,0.8155172413793103,0.3172413793103449,0,드라마,2.8125,2017-11-24
606,슬기로운 감빵생활,tvN,16,9C,12.4,8.8,8.0,0.0,0.0,0.0,0.8344827586206897,0.40517241379310354,0,드라마,7.55625,2017-11-22
607,투깝스,MBC,32,3C,11.8,3.6,10.0,0.0,0.0,0.0,0.7137254901960784,-0.08431372549019611,0,"판타지,수사물,로맨스",6.886666666666666,2017-11-27
608,이판사판,SBS,32,9C,28.8,12.2,0.0,0.0,0.0,0.0,0.7117647058823529,0.37647058823529417,0,법정,7.050000000000001,2017-11-22
609,안단테,KBS1,16,13A,12.2,5.8,11.0,0.0,3.0,0.0,1.1641509433962263,7.608490566037738,0,드라마,1.9875,2017-09-24
610,한여름의 추억,JTBC,2,13B,20.8,13.2,4.0,0.0,0.0,0.0,0.4,2.1,0,드라마,1.8,2017-12-31
611,화유기,tvN,20,24C,23.6,22.6,9.0,0.0,12.0,0.0,1.1847222222222227,-0.4972222222222224,0,판타지,5.415,2017-12-23
