,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
0,몽땅 내 사랑,MBC,210,22B,38.6,8.8,13.0,0.0,11.0,1.0,4.701277955271565,11.741214057507987,1,시트콤,9.509999999999998,2010-11-08
1,근초고왕,KBS1,60,24C,29.8,8.0,10.0,0.0,12.0,1.0,1.7819512195121947,5.239024390243903,1,사극,10.943333333333332,2010-11-06
2,웃어라 동해야,KBS1,159,22B,28.0,6.2,12.0,0.0,8.0,0.0,1.6364864864864863,5.5486486486486495,1,드라마,39.346666666666664,2010-10-04
3,호박꽃 순정,SBS,124,22B,43.0,14.2,14.0,0.0,8.0,0.0,1.8749999999999993,3.9299999999999993,1,드라마,13.793333333333335,2010-11-15
4,사랑하길 잘했어,KBS2,162,22A,20.0,10.4,10.0,0.0,5.0,5.0,1.304787234042553,3.6489361702127665,1,"코메디,로맨스,드라마",9.483333333333333,2010-10-25
5,"웃어요, 엄마",SBS,50,24C,19.6,9.0,11.0,0.0,13.0,0.0,1.124705882352941,2.9299999999999997,1,드라마,14.28,2010-11-06
6,주홍글씨,MBC,165,22A,35.8,22.6,4.0,0.0,18.0,0.0,3.2707627118644074,8.528813559322028,1,드라마,14.236666666666666,2010-08-09
7,욕망의 불꽃,MBC,50,24C,40.2,36.4,14.0,0.0,31.0,13.0,0.9638418079096046,3.9016949152542355,1,"막장,드라마",18.286666666666665,2010-10-02
8,폭풍의 연인,MBC,69,22B,22.4,7.6,11.0,0.0,13.0,9.0,0.5524752475247524,-0.08811881188118814,1,드라마,5.833333333333334,2010-11-17
9,프레지던트,KBS2,20,9C,23.8,6.4,10.0,0.0,14.0,0.0,0.4680555555555555,-1.9291666666666667,0,정치,7.127777777777778,2010-12-15
10,아테나 : 전쟁의 여신,SBS,20,3C,15.8,21.6,2.0,6.0,2.0,1.0,0.6422535211267605,-2.1211267605633806,0,액션,16.115000000000002,2010-12-13
11,역전의 여왕,MBC,31,3C,21.6,10.2,17.0,2.0,8.0,0.0,0.5364485981308412,2.4317757009345793,1,로맨스,12.996666666666666,2010-10-18
12,글로리아,MBC,50,24B,29.6,11.2,11.0,0.0,18.0,0.0,3.8885869565217406,11.192934782608699,1,드라마,9.669999999999998,2010-07-31
13,"괜찮아, 아빠딸",SBS,17,3C,24.4,9.2,24.0,0.0,13.0,0.0,0.6379310344827588,-0.1879310344827589,1,드라마,9.217647058823529,2010-11-22
14,시크릿 가든,SBS,20,24C,12.6,10.0,10.0,0.0,13.0,2.0,0.5692307692307693,0.8938461538461541,1,"판타지,로맨스,드라마",24.275000000000002,2010-11-13
15,여자를 몰라,SBS,109,22A,32.0,9.0,12.0,0.0,5.0,0.0,4.673026315789475,14.124342105263153,1,"로맨스,드라마",17.84333333333333,2010-08-02
16,정글피쉬 2,KBS2,8,5C,24.0,10.8,4.0,1.0,7.0,1.0,0.7140350877192985,3.8140350877192977,1,드라마,4.237500000000001,2010-11-04
17,매리는 외박중,KBS2,16,3C,21.0,14.6,15.0,0.0,4.0,3.0,0.7078431372549019,3.560784313725489,1,"로맨스,코메디,드라마",7.326666666666667,2010-11-08
18,결혼해주세요,KBS2,56,24B,49.8,29.4,9.0,0.0,13.0,1.0,5.207853403141361,17.032460732984294,1,"가족,드라마",26.786666666666665,2010-06-19
19,대물,SBS,24,9C,38.2,36.0,16.0,0.0,7.0,0.0,0.5873417721518988,8.044303797468354,1,"정치,법정,코메디",25.712499999999995,2010-10-06
20,즐거운 나의 집,MBC,16,9C,35.6,17.6,16.0,0.0,12.0,0.0,0.5413793103448278,5.425862068965519,1,드라마,8.1125,2010-10-27
21,도망자 Plan.B,KBS2,20,9C,14.8,14.6,13.0,0.0,0.0,0.0,0.7732394366197184,10.264788732394365,1,"액션,로맨스,코메디,드라마",13.605,2010-09-29
22,자이언트,SBS,60,3C,22.8,18.6,16.0,0.0,9.0,0.0,5.291037735849054,18.934433962264155,1,정치,26.860000000000007,2010-05-10
23,닥터 챔프,SBS,16,3C,20.4,21.2,8.0,0.0,6.0,0.0,0.9117647058823529,12.686274509803921,1,드라마,11.45625,2010-09-27
24,황금물고기,MBC,133,22B,28.6,6.6,13.0,0.0,5.0,0.0,5.801036269430049,20.696373056994823,1,드라마,18.39,2010-05-03
25,인생은 아름다워,SBS,63,24C,43.6,15.4,24.0,0.0,34.0,32.0,5.2849785407725305,18.738197424892707,1,드라마,20.78666666666667,2010-03-20
26,볼수록 애교만점,MBC,138,22B,32.8,17.2,5.0,0.0,8.0,7.0,5.442477876106192,19.038495575221248,1,시트콤,7.5200000000000005,2010-03-22
27,성균관 스캔들,KBS2,20,3C,14.0,7.8,14.0,0.0,6.0,0.0,4.878461538461541,18.093846153846147,0,"판타지,로맨스,사극,드라마",10.110000000000001,2010-08-30
28,이웃집 웬수,SBS,65,24C,29.2,12.0,18.0,0.0,21.0,0.0,5.373390557939913,18.6098712446352,1,"가족,드라마",21.96666666666666,2010-03-13
29,세자매,SBS,123,22B,21.4,14.2,13.0,1.0,14.0,1.0,6.131770833333331,20.945312500000004,1,"가족,드라마",10.299999999999999,2010-04-19
30,엄마도 예쁘다,KBS2,174,22A,28.2,19.0,5.0,0.0,6.0,0.0,5.823762376237622,20.34653465346535,1,"가족,드라마",9.593333333333334,2010-04-05
31,장난스런 KISS,MBC,16,9C,16.8,4.8,14.0,1.0,6.0,3.0,5.609803921568629,19.494117647058825,0,드라마,4.93125,2010-09-01
32,동이,MBC,60,3C,18.8,20.2,19.0,0.0,10.0,0.0,5.946829268292683,19.69219512195122,1,사극,24.316666666666666,2010-03-22
33,내 여자친구는 구미호,SBS,16,9C,24.6,12.4,9.0,0.0,12.0,0.0,10.907843137254906,23.776470588235288,0,"판타지,로맨스,코메디",11.964285714285714,2010-08-11
34,나는 전설이다,SBS,16,3C,27.4,7.6,12.0,0.0,6.0,2.0,12.154901960784315,25.658823529411762,0,로맨스,13.1625,2010-08-02
35,김수로,MBC,32,24C,29.0,11.4,15.0,0.0,0.0,0.0,7.9274336283185844,24.559292035398236,1,사극,10.476666666666667,2010-05-29
36,제빵왕 김탁구,KBS2,30,9C,24.8,6.2,17.0,0.0,17.0,0.0,8.930000000000001,25.149000000000004,1,드라마,36.39,2010-06-09
37,자유인 이회영,KBS1,5,24C,38.4,10.4,12.0,0.0,4.0,8.0,16.88,25.053333333333335,0,사극,7.5,2010-08-29
38,로드 넘버원,MBC,20,9C,24.0,21.2,38.0,4.0,9.0,3.0,9.0,25.79384615384616,1,로맨스,6.1899999999999995,2010-06-23
39,구미호 : 여우누이뎐,KBS2,16,3C,36.4,17.0,10.0,0.0,6.0,0.0,9.692156862745096,26.323529411764696,1,드라마,10.5375,2010-07-05
40,전우,KBS1,20,24C,35.6,25.0,14.0,0.0,0.0,0.0,8.416923076923075,25.613846153846154,1,드라마,14.245,2010-06-19
41,분홍립스틱,MBC,149,22A,29.8,12.4,8.0,1.0,5.0,0.0,3.5855769230769243,12.83653846153846,1,드라마,20.226666666666667,2010-01-11
42,나쁜 남자,SBS,17,9C,17.2,9.4,14.0,1.0,2.0,2.0,4.588888888888888,23.54027777777778,1,"로맨스,서스펜스",8.74,2010-05-26
43,당돌한 여자,SBS,105,22A,19.2,2.0,13.0,0.0,5.0,1.0,4.013907284768214,16.023178807947016,1,드라마,20.35666666666667,2010-03-02
44,커피하우스,SBS,18,3C,21.8,11.2,16.0,1.0,12.0,0.0,5.858333333333334,22.391666666666666,1,드라마,8.100000000000001,2010-05-17
45,민들레 가족,MBC,50,24B,29.6,7.8,11.0,1.0,18.0,0.0,3.861581920903956,13.355932203389825,1,"가족,드라마",8.906666666666666,2010-01-30
46,국가가 부른다,KBS2,16,3C,26.8,7.0,12.0,0.0,3.0,0.0,3.454901960784314,19.925490196078435,1,"로맨스,드라마",6.4437500000000005,2010-05-10
47,"런닝,구",MBC,4,9C,22.2,17.6,14.0,0.0,8.0,0.0,2.6125000000000003,22.725,1,드라마,4.55,2010-06-10
48,거상 김만덕,KBS1,30,24C,32.6,11.8,5.0,0.0,9.0,0.0,2.97,12.414999999999997,1,드라마,12.623333333333335,2010-03-06
49,나는 별 일 없이 산다,MBC,4,9C,31.4,126.2,4.0,0.0,3.0,0.0,0.20000000000000004,18.959999999999997,0,드라마,6.65,2010-05-26
50,신데렐라 언니,KBS2,20,9C,22.8,13.6,15.0,1.0,0.0,0.0,3.56923076923077,13.687692307692304,0,"서스펜스,드라마",17.88,2010-03-31
51,신이라 불리운 사나이,MBC,24,24C,27.6,13.2,12.0,1.0,16.0,4.0,3.4392405063291136,10.62025316455696,0,액션,13.541666666666666,2010-03-06
52,개인의 취향,MBC,16,9C,16.0,16.8,8.0,0.0,1.0,0.0,3.4117647058823537,12.762745098039213,0,로맨스,11.66875,2010-03-31
53,검사 프린세스,SBS,16,9C,22.0,4.6,19.0,0.0,13.0,0.0,3.4117647058823537,12.762745098039213,0,"로맨스,법정",10.399999999999999,2010-03-31
54,오! 마이 레이디,SBS,16,3C,25.8,9.2,6.0,0.0,6.0,0.0,2.43921568627451,10.750980392156862,0,드라마,10.125,2010-03-22
55,부자의 탄생,KBS2,20,3C,35.4,11.2,7.0,0.0,5.0,1.0,2.741538461538461,8.233846153846152,0,드라마,14.325,2010-03-01
56,제중원,SBS,36,3C,25.2,11.4,10.0,0.0,3.0,0.0,2.3925619834710745,4.583471074380164,1,메디컬,13.343333333333334,2010-01-04
57,산부인과,SBS,16,9C,24.2,9.8,11.0,0.0,3.0,0.0,2.966666666666667,3.876470588235294,1,메디컬,10.993749999999999,2010-02-03
58,추노,KBS2,24,9C,30.0,20.2,13.0,0.0,0.0,0.0,2.20379746835443,2.0050632911392405,1,"액션,사극",30.270833333333332,2010-01-06
59,별을 따다줘,SBS,20,3C,18.6,3.0,11.0,0.0,18.0,0.0,2.322222222222222,1.3958333333333333,1,"로맨스,드라마",15.720000000000002,2010-01-04
60,아직도 결혼하고 싶은 여자,MBC,16,9C,22.2,12.2,11.0,0.0,16.0,0.0,2.764705882352941,2.4372549019607845,1,드라마,5.76875,2010-01-20
61,파스타,MBC,20,3C,18.4,17.6,12.0,0.0,8.0,0.0,2.2415384615384615,0.966153846153846,1,로맨스,16.6,2010-01-04
62,공부의 신,KBS2,16,3C,24.0,20.0,8.0,0.0,8.0,0.0,1.4156862745098038,-0.5490196078431373,1,드라마,21.56875,2010-01-04
63,명가,KBS1,16,3C,44.6,13.4,22.0,0.0,5.0,0.0,1.4313725490196079,-0.835294117647059,1,드라마,12.0875,2010-01-02
64,청담동 살아요,JTBC,170,22C,34.6,14.6,16.0,4.0,4.0,0.0,2.685185185185187,10.704526748971196,1,시트콤,0.632,2011-12-05
65,빛과 그림자,MBC,64,3C,26.8,6.2,16.0,0.0,22.0,0.0,1.8730593607305948,8.459360730593607,0,드라마,21.03333333333334,2011-11-28
66,인수대비,JTBC,60,24C,34.2,11.6,10.0,0.0,31.0,13.0,1.6058536585365863,7.809268292682926,0,사극,1.9366666666666668,2011-12-03
67,내 딸 꽃님이,SBS,131,22B,24.4,4.4,6.0,0.0,5.0,1.0,1.9283422459893056,5.154545454545455,0,가족,16.02,2011-11-14
68,오늘만 같아라,MBC,128,22B,46.4,10.4,11.0,0.0,21.0,0.0,1.8483333333333343,4.979444444444444,0,드라마,10.696666666666667,2011-11-21
69,TV소설 복희 누나,KBS2,130,22A,29.2,24.6,8.0,0.0,21.0,1.0,1.9094444444444443,4.542222222222221,0,드라마,14.26333333333333,2011-11-07
70,당신 뿐이야,KBS1,128,22B,21.2,12.0,11.0,0.0,5.0,1.0,1.9094444444444443,4.542222222222221,0,드라마,21.33,2011-11-07
71,광개토태왕,KBS1,92,24C,28.2,8.0,7.0,0.0,0.0,0.0,4.627794561933531,12.224471299093661,0,사극,16.64,2011-06-04
72,내일이 오면,SBS,51,24C,45.6,11.4,14.0,2.0,18.0,0.0,1.925988700564971,4.276271186440676,0,드라마,16.46,2011-10-29
73,고봉실 아줌마 구하기,TV조선,36,21B,50.0,32.0,12.0,2.0,5.0,0.0,1.2876033057851237,2.030578512396694,0,드라마,1.1666666666666667,2011-12-17
74,갈수록 기세등등,MBN,36,24C,29.0,11.0,2.0,0.0,7.0,1.0,1.0727272727272725,1.0867768595041323,0,시트콤,0.3633333333333333,2011-12-03
75,해피앤드,채널A,27,11C,22.6,4.6,11.0,4.0,4.0,0.0,1.040677966101695,0.9728813559322036,0,가족,0.6214285714285713,2011-12-05
76,뱀파이어 아이돌,MBN,79,22B,38.4,9.8,4.0,0.0,9.0,0.0,1.0487179487179488,0.9213675213675215,0,시트콤,0.6,2011-12-05
77,위험한 여자,MBC,124,22A,23.8,8.0,4.0,0.0,16.0,4.0,1.6624277456647394,4.40115606936416,0,드라마,12.67,2011-10-10
78,태양의 신부,SBS,112,22A,29.4,8.2,14.0,0.0,8.0,1.0,1.5157232704402508,3.4943396226415073,0,드라마,15.19,2011-10-24
79,하이킥! 짧은 다리의 역습,MBC,123,22B,38.8,17.6,10.0,0.0,12.0,0.0,1.429533678756476,5.651295336787566,0,시트콤,10.913333333333332,2011-09-19
80,천상의 화원 곰배령,채널A,30,24B,24.6,13.0,14.0,0.0,4.0,0.0,0.6779999999999999,0.019000000000000027,0,가족,0.9066666666666666,2011-12-03
81,폼나게 살거야,SBS,51,24B,37.4,7.4,10.0,0.0,17.0,1.0,1.389265536723163,5.830508474576278,0,드라마,11.053333333333333,2011-09-17
82,총각네 야채가게,채널A,24,9C,23.6,7.0,4.0,0.0,0.0,0.0,0.7063291139240507,-0.4860759493670884,0,드라마,0.5521739130434782,2011-12-21
83,여자가 두 번 화장할 때,JTBC,65,22A,36.2,14.4,8.0,0.0,14.0,55.0,0.6404255319148937,-0.23297872340425507,0,드라마,0.20333333333333334,2011-12-05
84,왔어 왔어 제대로 왔어,MBN,60,22C,42.8,11.6,10.0,0.0,0.0,0.0,0.40449438202247207,-0.543820224719101,0,시트콤,0.26,2011-12-05
85,발효가족,JTBC,24,9C,28.0,13.6,10.0,1.0,10.0,0.0,0.3936708860759494,-1.0303797468354428,0,드라마,0.8875000000000001,2011-12-07
86,오작교 형제들,KBS2,58,24B,52.2,29.0,7.0,0.0,11.0,2.0,2.475757575757577,9.982828282828292,0,가족,29.316666666666663,2011-08-06
87,빠담빠담… 그와 그녀의 심장박동소리,JTBC,20,3C,13.2,13.0,9.0,1.0,22.0,1.0,0.39846153846153853,-1.0399999999999998,0,"로맨스,판타지",1.725,2011-12-05
88,컬러 오브 우먼,채널A,20,3C,19.2,6.6,3.0,1.0,1.0,2.0,0.39846153846153853,-1.0399999999999998,0,드라마,0.4800000000000001,2011-12-05
89,왓츠 업,MBN,20,24C,19.0,7.6,5.0,0.0,26.0,3.0,0.4815384615384616,-0.8292307692307693,0,드라마,0.35000000000000003,2011-12-03
90,천 번의 입맞춤,MBC,50,24C,19.2,10.2,12.0,1.0,23.0,1.0,1.7094117647058829,9.601176470588243,0,드라마,11.626666666666667,2011-08-20
91,애정만만세,MBC,57,24C,34.4,15.2,8.0,0.0,17.0,0.0,3.4944444444444445,12.986363636363638,0,가족,17.903333333333332,2011-07-16
92,막돼먹은 영애씨 시즌9,tvN,20,10C,32.0,10.0,12.0,2.0,0.0,0.0,1.8619402985074625,9.049253731343295,0,드라마,1.7,2011-09-09
93,브레인,KBS2,20,3C,18.8,29.6,8.0,0.0,8.0,0.0,1.3446153846153843,2.00923076923077,0,메디컬,13.033333333333333,2011-11-14
94,특수사건 전담반 TEN,OCN,9,10C,19.2,17.6,0.0,0.0,0.0,0.0,1.4771929824561398,1.6175438596491236,0,드라마,2.3,2011-11-18
95,"나도, 꽃!",MBC,15,9C,27.6,4.6,11.0,0.0,5.0,0.0,1.7159999999999993,4.432000000000001,0,드라마,6.459999999999998,2011-11-09
96,영광의 재인,KBS2,24,9C,27.8,9.0,17.0,0.0,17.0,0.0,2.189743589743589,7.97435897435897,0,"로맨스,코메디",12.959090909090907,2011-10-12
97,더 뮤지컬,SBS,15,10C,15.0,7.4,4.0,1.0,4.0,13.0,2.1353982300884953,12.423893805309746,0,로맨스,3.8571428571428577,2011-09-02
98,뿌리깊은 나무,SBS,24,9C,15.0,26.2,8.0,1.0,13.0,1.0,2.145569620253164,9.494936708860758,0,사극,19.40833333333333,2011-10-05
99,꽃미남 라면가게,tvN,16,3C,18.6,9.2,10.0,9.0,6.0,0.0,2.3176470588235296,7.572549019607841,0,"로맨스,코메디",3.63,2011-10-31
100,천일의 약속,SBS,20,3C,32.0,16.6,24.0,0.0,34.0,32.0,2.3661538461538454,8.678461538461532,0,"로맨스,드라마",16.595,2011-10-17
101,뱀파이어 검사 시즌1,OCN,12,13C,33.2,22.2,11.0,1.0,0.0,0.0,2.17051282051282,10.124358974358971,0,수사물,4.0,2011-10-02
102,심야병원,MBC,10,11C,23.6,26.8,9.0,0.0,8.0,1.0,2.492187499999999,9.331249999999995,0,드라마,4.470000000000001,2011-10-15
103,계백,MBC,36,3C,26.2,16.6,16.0,0.0,7.0,1.0,4.861157024793388,18.950413223140494,0,사극,12.359999999999998,2011-07-25
104,불굴의 며느리,MBC,113,22B,31.6,13.6,13.0,0.0,11.0,0.0,7.364457831325298,20.61686746987953,0,드라마,15.733333333333333,2011-06-06
105,당신이 잠든 사이,SBS,120,22B,42.6,7.8,13.0,0.0,6.0,0.0,6.924719101123591,20.82696629213484,0,드라마,12.490000000000002,2011-05-16
106,포세이돈,KBS2,16,3C,23.4,8.6,14.0,1.0,6.0,2.0,1.9274509803921562,15.182352941176477,0,액션,7.26875,2011-09-19
107,두근두근 달콤,KBS2,135,22A,32.2,6.6,11.0,0.0,5.0,0.0,6.945989304812834,20.648128342245997,0,로맨스,10.229999999999999,2011-05-02
108,우리집 여자들,KBS1,125,22B,23.2,4.0,11.0,0.0,6.0,0.0,6.938150289017338,20.97456647398845,0,드라마,23.316666666666666,2011-05-16
109,내 사랑 내 곁에,SBS,50,24C,38.0,9.8,14.0,0.0,7.0,0.0,7.593529411764705,21.3129411764706,0,가족,13.866666666666669,2011-05-07
110,미쓰 아줌마,SBS,103,22A,30.4,5.0,14.0,0.0,6.0,0.0,7.940689655172413,21.97310344827588,0,로맨스,11.77,2011-05-30
111,지고는 못살아,MBC,18,9C,33.4,22.0,7.0,0.0,4.0,0.0,1.6155172413793102,19.253448275862066,0,드라마,6.85,2011-08-24
112,무사 백동수,SBS,29,3C,24.2,9.6,11.0,0.0,4.0,1.0,8.011111111111113,22.7959595959596,0,사극,16.093103448275862,2011-07-04
113,당신 참 예쁘다,MBC,135,22A,30.8,15.6,9.0,0.0,5.0,0.0,7.251336898395723,20.25614973262033,0,드라마,14.139999999999999,2011-04-04
114,공주의 남자,KBS2,24,9C,24.0,4.2,12.0,0.0,5.0,0.0,6.246835443037975,22.7873417721519,0,"사극,로맨스,액션",18.9375,2011-07-20
115,보스를 지켜라,SBS,18,9C,26.8,11.4,12.0,0.0,7.0,0.0,5.289655172413794,23.167241379310347,0,"로맨스,코메디",15.11111111111111,2011-08-03
116,여인의 향기,SBS,16,24C,19.0,59.8,8.0,0.0,6.0,0.0,9.101960784313723,24.69411764705882,0,로맨스,17.1875,2011-07-23
117,스파이 명월,KBS2,18,3C,27.8,10.4,16.0,0.0,5.0,1.0,9.08965517241379,25.153448275862075,0,"액션,드라마",7.0062500000000005,2011-07-11
118,신의 퀴즈 시즌2,OCN,12,10C,23.0,17.4,0.0,0.0,11.0,1.0,13.30769230769231,24.396153846153858,0,수사물,2.0,2011-06-10
119,넌 내게 반했어,MBC,15,9C,20.6,6.4,16.0,1.0,0.0,0.0,15.56078431372549,25.456862745098032,0,드라마,6.333333333333333,2011-06-29
120,반짝반짝 빛나는,MBC,54,24C,33.6,7.4,10.0,0.0,13.0,1.0,7.0038043478260885,15.541847826086952,0,드라마,20.93333333333333,2011-02-12
121,사랑을 믿어요,KBS2,62,24B,37.6,21.4,17.0,0.0,8.0,4.0,5.173584905660377,11.099528301886792,0,드라마,24.386666666666667,2011-01-01
122,시티헌터,SBS,20,9C,23.0,6.8,19.0,0.0,6.0,0.0,11.578461538461543,22.800000000000008,0,"액션,로맨스",15.98,2011-05-25
123,미스 리플리,MBC,16,3C,22.8,13.6,15.0,0.0,0.0,0.0,12.417647058823531,22.860784313725496,0,드라마,13.7125,2011-05-30
124,신기생뎐,SBS,52,24C,26.8,13.6,11.0,0.0,0.0,0.0,5.4147727272727275,11.898863636363636,0,드라마,20.73,2011-01-23
125,로맨스 타운,KBS2,20,9C,22.0,9.0,27.0,0.0,8.0,0.0,10.504615384615386,21.00461538461539,0,"로맨스,코메디",10.419999999999998,2011-05-11
126,내 마음이 들리니,MBC,30,24C,27.2,5.2,16.0,0.0,9.0,0.0,7.6480000000000015,17.59,0,"막장,로맨스",15.386666666666667,2011-04-02
127,동안미녀,KBS2,20,3C,19.6,4.6,7.0,0.0,6.0,0.0,7.096923076923077,20.019999999999996,0,"로맨스,코메디",12.6,2011-05-02
128,내게 거짓말을 해봐,SBS,16,3C,20.0,6.8,13.0,0.0,3.0,0.0,6.75686274509804,19.925490196078435,0,"로맨스,코메디",9.537500000000001,2011-05-09
129,최고의 사랑,MBC,16,9C,21.6,18.2,9.0,0.0,12.0,0.0,3.6137254901960785,19.392156862745097,0,로맨스,16.0125,2011-05-04
130,남자를 믿었네,MBC,69,22B,27.0,10.4,20.0,0.0,14.0,0.0,2.835416666666667,11.194791666666665,0,드라마,5.1,2011-02-28
131,장미의 전쟁,SBS,102,22A,23.2,6.2,12.0,0.0,5.0,0.0,2.227464788732394,5.638028169014086,0,로맨스,12.26333333333333,2011-01-03
132,짝패,MBC,32,3C,22.0,17.0,11.0,1.0,16.0,0.0,2.9112149532710276,8.714953271028037,0,사극,15.780000000000001,2011-02-07
133,49일,SBS,20,9C,19.8,8.0,8.0,0.0,13.0,0.0,3.5646153846153847,11.432307692307692,0,판타지,11.925,2011-03-16
134,가시나무새,KBS2,20,9C,29.0,7.0,12.0,0.0,13.0,0.0,2.0461538461538464,8.512307692307692,0,드라마,9.834999999999997,2011-03-02
135,마이더스,SBS,21,3C,30.0,17.0,9.0,0.0,22.0,0.0,2.578873239436619,7.940845070422533,0,드라마,13.842857142857142,2011-02-22
136,로열 패밀리,MBC,18,9C,35.2,23.8,6.0,0.0,4.0,4.0,1.6000000000000005,7.70862068965517,0,드라마,12.255555555555555,2011-03-02
137,강력반,KBS2,16,3C,22.0,12.6,0.0,0.0,4.0,1.0,1.7588235294117651,8.186274509803917,0,수사물,7.449999999999999,2011-03-07
138,파라다이스 목장,SBS,16,3C,15.0,6.2,16.0,0.0,3.0,0.0,1.3235294117647058,1.2490196078431373,0,드라마,8.8625,2011-01-24
139,싸인,SBS,20,9C,22.4,13.6,12.0,0.0,9.0,0.0,1.073846153846154,-0.9400000000000002,0,수사물,18.71,2011-01-05
140,드림하이,KBS2,16,3C,16.8,5.4,22.0,0.0,11.0,0.0,1.2,-1.5333333333333332,0,"로맨스,코메디",15.712500000000002,2011-01-03
141,마이 프린세스,MBC,16,9C,36.8,32.0,12.0,0.0,4.0,0.0,0.38627450980392153,-2.027450980392157,0,드라마,16.15625,2011-01-05
142,산너머 남촌에는 2,KBS1,125,13A,26.8,12.2,0.0,0.0,5.0,5.0,3.71028331584469,13.877964323189937,1,드라마,9.51,2012-05-20
143,대왕의 꿈,KBS1,70,24C,28.8,10.0,12.0,0.0,7.0,0.0,2.6352727272727274,8.169454545454546,0,사극,10.686666666666667,2012-09-08
144,가족의 탄생,SBS,115,22B,28.8,7.6,24.0,0.0,13.0,0.0,1.7798780487804886,4.184756097560976,0,"가족,드라마",8.776666666666667,2012-12-05
145,오자룡이 간다,MBC,129,22B,20.6,15.6,6.0,0.0,7.0,0.0,1.6805555555555558,4.124444444444444,0,드라마,17.279999999999998,2012-11-19
146,사랑했나봐,MBC,144,22A,27.0,5.6,11.0,0.0,5.0,0.0,1.9223880597014935,4.315422885572139,0,드라마,17.453333333333333,2012-10-15
147,"힘내요, 미스터 김!",KBS1,124,22B,25.4,9.6,15.0,0.0,5.0,0.0,1.8225433526011572,3.027745664739884,0,"로맨스,가족",28.1,2012-11-05
148,내 사랑 나비부인,SBS,51,24C,30.4,15.2,14.0,0.0,8.0,0.0,1.840217391304348,3.945108695652175,0,드라마,11.91,2012-10-06
149,유리가면,tvN,122,12A,21.0,12.0,9.0,0.0,2.0,8.0,2.6303738317757004,6.280373831775701,0,드라마,1.6099999999999997,2012-09-03
150,막돼먹은 영애씨 시즌11,tvN,18,10C,24.4,9.6,19.0,0.0,0.0,0.0,1.6483333333333339,0.7416666666666665,0,드라마,1.3499999999999999,2012-11-29
151,마의,MBC,50,3C,21.8,15.2,19.0,0.0,10.0,0.0,1.7596590909090908,3.9857954545454515,0,사극,18.976666666666667,2012-10-01
152,아들 녀석들,MBC,50,24C,20.6,6.0,13.0,0.0,5.0,0.0,1.688586956521739,4.6907608695652145,0,"가족,드라마",6.596666666666667,2012-09-22
153,무자식 상팔자,JTBC,40,24C,56.8,38.6,24.0,0.0,34.0,32.0,1.8316901408450705,1.87605633802817,0,"가족,드라마",6.33,2012-10-27
154,내 딸 서영이,KBS2,50,24B,27.2,11.8,8.0,0.0,13.0,0.0,2.3717647058823523,4.997647058823528,0,드라마,36.739999999999995,2012-09-15
155,너라서 좋아,SBS,117,22A,26.8,23.2,12.0,0.0,8.0,0.0,2.9939759036144586,6.477108433734939,0,드라마,13.04,2012-09-03
156,대풍수,SBS,35,9C,25.8,8.4,8.0,0.0,3.0,0.0,2.029752066115702,3.1553719008264474,0,사극,9.023333333333333,2012-10-10
157,전우치,KBS2,24,9C,21.6,21.0,6.0,0.0,8.0,5.0,1.7607594936708857,-0.8696202531645568,0,"액션,사극",12.754166666666668,2012-11-21
158,패밀리,KBS2,120,22B,35.8,18.4,7.0,0.0,7.0,1.0,4.87865168539326,9.150561797752806,0,시트콤,8.55,2012-08-13
159,학교 2013,KBS2,16,3C,15.4,5.0,22.0,0.0,8.0,1.0,1.535087719298246,-2.3596491228070176,0,드라마,12.44375,2012-12-03
160,청담동 앨리스,SBS,16,24C,23.8,6.8,24.0,0.0,3.0,0.0,1.5224137931034485,-2.2172413793103454,0,로맨스,12.53125,2012-12-01
161,보고싶다,MBC,21,9C,16.2,8.4,7.0,0.0,9.0,1.0,1.4916666666666667,0.32083333333333325,0,로맨스,10.057142857142857,2012-11-07
162,드라마의 제왕,SBS,18,3C,19.4,18.0,11.0,0.0,12.0,20.0,1.7609375000000005,1.0828124999999995,0,"코메디,로맨스",7.188888888888887,2012-11-05
163,TV소설 사랑아 사랑아,KBS2,175,22A,28.6,9.4,17.0,0.0,10.0,0.0,5.040740740740736,16.025102880658437,1,드라마,14.926666666666666,2012-05-07
164,우리가 결혼할 수 있을까,JTBC,20,3C,22.6,13.8,12.0,1.0,7.0,0.0,1.8292307692307694,2.6323076923076925,0,드라마,1.425,2012-10-29
165,엄마가 뭐길래,MBC,27,3C,45.0,20.6,7.0,0.0,7.0,3.0,2.0666666666666664,6.074358974358977,0,시트콤,5.634615384615385,2012-10-09
166,메이퀸,MBC,38,24C,32.8,13.6,14.0,0.0,14.0,0.0,5.2804687500000025,12.347656249999996,0,막장,19.22666666666667,2012-08-18
167,그래도 당신,SBS,124,B 22,26.2,10.2,13.0,0.0,7.0,0.0,5.812182741116744,19.008629441624368,1,드라마,17.616666666666667,2012-05-21
168,울랄라 부부,KBS2,18,3C,30.0,19.2,17.0,0.0,15.0,0.0,1.91551724137931,10.867241379310345,0,가족,10.816666666666666,2012-10-01
169,다섯 손가락,SBS,30,24C,25.2,8.4,12.0,0.0,13.0,0.0,6.233000000000003,15.841999999999995,0,막장,11.567857142857141,2012-08-18
